mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_layers,param_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
26.57431740760803,0.5844858486315645,0.061909818649291994,0.002128375278139337,0,1,"{'layers': 0, 'neurons': 1}",0.762589928057554,0.7536231884057971,0.7753623188405797,0.7318840579710145,0.782608695652174,0.7612136377854238,0.01776325997957444,6
28.207331132888793,0.35394712088025687,0.05938487052917481,0.002112363484708957,0,2,"{'layers': 0, 'neurons': 2}",0.7553956834532374,0.7463768115942029,0.7681159420289855,0.7246376811594203,0.782608695652174,0.755426962777604,0.019645573923450753,12
29.880530214309694,1.249362089437636,0.06737608909606933,0.006058127995615717,0,4,"{'layers': 0, 'neurons': 4}",0.762589928057554,0.7536231884057971,0.7753623188405797,0.7246376811594203,0.782608695652174,0.759764362423105,0.020222469587803164,7
31.194877290725707,0.1681323187818573,0.06463041305541992,0.006133050132554077,0,8,"{'layers': 0, 'neurons': 8}",0.7553956834532374,0.7463768115942029,0.7753623188405797,0.7246376811594203,0.782608695652174,0.7568762381399228,0.02076366588753225,11
31.88179154396057,0.36164445411776586,0.06500720977783203,0.006810841929977263,0,16,"{'layers': 0, 'neurons': 16}",0.7553956834532374,0.7536231884057971,0.7753623188405797,0.717391304347826,0.7898550724637681,0.7583255135022416,0.024456782572411025,9
34.32134666442871,1.9332849703352235,0.0687993049621582,0.006605266820379884,0,32,"{'layers': 0, 'neurons': 32}",0.7553956834532374,0.7463768115942029,0.7753623188405797,0.717391304347826,0.782608695652174,0.755426962777604,0.023086284025140933,12
56.093463850021365,21.501636209482896,0.09669671058654786,0.005823200313244772,1,1,"{'layers': 1, 'neurons': 1}",0.7769784172661871,0.7536231884057971,0.7898550724637681,0.644927536231884,0.7681159420289855,0.7467000312793243,0.05223667356104718,18
39.20606913566589,2.54773623632175,0.07801327705383301,0.01006267027677327,1,2,"{'layers': 1, 'neurons': 2}",0.7985611510791367,0.7318840579710145,0.644927536231884,0.7391304347826086,0.7608695652173914,0.7350745490564071,0.05069328330008344,24
40.222728395462035,0.21208873633407435,0.08287787437438965,0.005243736999115832,1,4,"{'layers': 1, 'neurons': 4}",0.8057553956834532,0.7536231884057971,0.782608695652174,0.7318840579710145,0.7608695652173914,0.7669481805859661,0.025279435721228236,4
32.10493369102478,10.361841610882637,0.07547688484191895,0.005082515909347474,1,8,"{'layers': 1, 'neurons': 8}",0.7697841726618705,0.7246376811594203,0.7898550724637681,0.717391304347826,0.7681159420289855,0.753956834532374,0.028058222310505927,14
